<Date>,<Time>,<Open>,<High>,<Low>,<Close>,<Volume>
2023/07/01,08:26:00,30480.53000000,30497.52000000,30477.78000000,30497.52000000,19.13803000
2023/07/01,08:27:00,30497.52000000,30509.44000000,30497.51000000,30508.34000000,16.72414000
2023/07/01,08:28:00,30508.34000000,30518.01000000,30508.34000000,30518.00000000,8.95985000
2023/07/01,08:29:00,30518.00000000,30533.56000000,30516.00000000,30516.01000000,25.08357000
2023/07/01,08:30:00,30516.00000000,30526.50000000,30506.54000000,30526.32000000,27.37923000
2023/07/01,08:31:00,30526.32000000,30532.20000000,30520.00000000,30528.77000000,55.53301000
2023/07/01,08:32:00,30528.77000000,30531.49000000,30523.41000000,30526.00000000,16.36838000
2023/07/01,08:33:00,30526.00000000,30528.30000000,30519.90000000,30520.19000000,19.70851000
2023/07/01,08:34:00,30520.19000000,30520.20000000,30509.39000000,30509.39000000,16.07338000
2023/07/01,08:35:00,30509.39000000,30509.44000000,30491.14000000,30509.44000000,29.09083000
2023/07/01,08:36:00,30509.43000000,30509.47000000,30496.31000000,30496.31000000,10.64281000
2023/07/01,08:37:00,30496.32000000,30499.50000000,30494.95000000,30499.50000000,11.04699000
2023/07/01,08:38:00,30499.50000000,30524.00000000,30499.49000000,30524.00000000,19.39645000
2023/07/01,08:39:00,30524.00000000,30525.84000000,30520.34000000,30523.58000000,20.03678000
2023/07/01,08:40:00,30523.57000000,30528.81000000,30517.09000000,30526.64000000,27.14280000
2023/07/01,08:41:00,30526.65000000,30526.65000000,30515.69000000,30525.23000000,13.98419000
2023/07/01,08:42:00,30525.22000000,30534.74000000,30519.00000000,30519.00000000,84.54293000
2023/07/01,08:43:00,30519.00000000,30522.16000000,30519.00000000,30520.66000000,9.48121000
2023/07/01,08:44:00,30520.66000000,30520.66000000,30514.31000000,30516.00000000,10.94111000
2023/07/01,08:45:00,30516.00000000,30516.00000000,30477.37000000,30477.38000000,21.68490000
2023/07/01,08:46:00,30477.38000000,30480.00000000,30462.00000000,30474.04000000,22.22858000
2023/07/01,08:47:00,30474.05000000,30477.77000000,30465.22000000,30465.23000000,17.90496000
2023/07/01,08:48:00,30465.23000000,30473.49000000,30464.27000000,30471.99000000,20.01070000
2023/07/01,08:49:00,30471.99000000,30492.00000000,30470.32000000,30480.94000000,15.57792000
2023/07/01,08:50:00,30480.95000000,30480.95000000,30474.04000000,30477.08000000,16.61113000
2023/07/01,08:51:00,30477.09000000,30481.99000000,30477.08000000,30478.01000000,10.29996000
2023/07/01,08:52:00,30478.01000000,30478.84000000,30471.57000000,30478.84000000,12.70870000
2023/07/01,08:53:00,30478.83000000,30486.64000000,30465.26000000,30476.00000000,23.45827000
2023/07/01,08:54:00,30476.00000000,30486.71000000,30475.99000000,30484.09000000,14.40270000
2023/07/01,08:55:00,30484.09000000,30484.09000000,30471.99000000,30475.99000000,14.98505000
2023/07/01,08:56:00,30476.00000000,30476.06000000,30462.01000000,30462.01000000,8.06640000
2023/07/01,08:57:00,30462.02000000,30464.72000000,30462.01000000,30464.71000000,9.89495000
2023/07/01,08:58:00,30464.72000000,30474.89000000,30462.00000000,30474.89000000,13.57905000
2023/07/01,08:59:00,30474.89000000,30477.71000000,30469.82000000,30469.83000000,13.03320000
2023/07/01,09:00:00,30469.82000000,30477.69000000,30462.01000000,30468.36000000,52.40205000
2023/07/01,09:01:00,30468.37000000,30483.02000000,30463.12000000,30483.02000000,22.30999000
2023/07/01,09:02:00,30483.01000000,30483.02000000,30474.00000000,30474.00000000,12.94098000
2023/07/01,09:03:00,30474.00000000,30484.31000000,30470.04000000,30476.01000000,19.41710000
2023/07/01,09:04:00,30476.01000000,30476.01000000,30451.91000000,30453.70000000,16.26452000
2023/07/01,09:05:00,30453.70000000,30455.99000000,30445.00000000,30452.00000000,30.12954000
2023/07/01,09:06:00,30451.99000000,30452.00000000,30442.05000000,30442.05000000,11.09290000
2023/07/01,09:07:00,30442.06000000,30442.06000000,30413.45000000,30413.45000000,24.12770000
2023/07/01,09:08:00,30413.45000000,30427.51000000,30410.25000000,30424.01000000,34.79977000
2023/07/01,09:09:00,30424.00000000,30436.14000000,30422.00000000,30436.13000000,10.80410000
2023/07/01,09:10:00,30436.13000000,30453.04000000,30436.13000000,30452.01000000,21.47173000
2023/07/01,09:11:00,30452.00000000,30467.33000000,30452.00000000,30467.33000000,10.77114000
2023/07/01,09:12:00,30467.32000000,30476.44000000,30464.02000000,30476.42000000,12.50110000
2023/07/01,09:13:00,30476.42000000,30479.23000000,30470.69000000,30479.22000000,15.02152000
2023/07/01,09:14:00,30479.23000000,30479.28000000,30475.16000000,30476.84000000,11.15613000
2023/07/01,09:15:00,30476.85000000,30476.85000000,30446.00000000,30446.01000000,28.03252000
2023/07/01,09:16:00,30446.00000000,30450.10000000,30430.21000000,30450.09000000,21.21048000
2023/07/01,09:17:00,30450.10000000,30465.50000000,30390.11000000,30417.66000000,62.02816000
2023/07/01,09:18:00,30417.65000000,30444.00000000,30414.49000000,30439.99000000,29.59821000
2023/07/01,09:19:00,30440.00000000,30440.00000000,30408.03000000,30421.08000000,29.03152000
2023/07/01,09:20:00,30421.08000000,30439.12000000,30406.00000000,30409.30000000,47.93514000
2023/07/01,09:21:00,30409.31000000,30430.00000000,30406.00000000,30422.01000000,32.95317000
2023/07/01,09:22:00,30422.01000000,30430.00000000,30413.23000000,30421.95000000,21.46051000
2023/07/01,09:23:00,30421.95000000,30421.96000000,30380.51000000,30396.75000000,80.28852000
2023/07/01,09:24:00,30396.75000000,30407.65000000,30391.88000000,30407.65000000,20.08981000
2023/07/01,09:25:00,30407.65000000,30430.02000000,30407.64000000,30420.59000000,16.36881000
2023/07/01,09:26:00,30420.60000000,30426.00000000,30419.43000000,30425.98000000,24.87478000
2023/07/01,09:27:00,30425.99000000,30437.48000000,30414.68000000,30423.80000000,35.31714000
2023/07/01,09:28:00,30423.80000000,30434.00000000,30415.17000000,30415.18000000,38.35447000
2023/07/01,09:29:00,30415.17000000,30422.42000000,30412.00000000,30422.00000000,10.84757000
2023/07/01,09:30:00,30422.00000000,30426.00000000,30405.56000000,30425.99000000,17.34931000
2023/07/01,09:31:00,30426.00000000,30427.76000000,30418.00000000,30427.76000000,17.44894000
2023/07/01,09:32:00,30427.76000000,30427.76000000,30424.47000000,30426.72000000,13.80437000
2023/07/01,09:33:00,30426.72000000,30447.99000000,30426.71000000,30447.99000000,19.36365000
2023/07/01,09:34:00,30447.98000000,30447.99000000,30444.68000000,30446.67000000,7.59604000
2023/07/01,09:35:00,30446.67000000,30447.16000000,30446.67000000,30447.15000000,3.74889000
2023/07/01,09:36:00,30447.16000000,30450.00000000,30442.00000000,30447.99000000,26.05081000
2023/07/01,09:37:00,30448.00000000,30462.00000000,30447.99000000,30460.00000000,14.44983000
2023/07/01,09:38:00,30459.99000000,30460.00000000,30456.63000000,30456.63000000,8.51652000
2023/07/01,09:39:00,30456.63000000,30456.64000000,30456.35000000,30456.36000000,11.28937000
2023/07/01,09:40:00,30456.35000000,30458.75000000,30440.00000000,30458.74000000,23.46198000
2023/07/01,09:41:00,30458.75000000,30467.01000000,30458.74000000,30466.78000000,5.17986000
2023/07/01,09:42:00,30466.77000000,30466.78000000,30462.00000000,30463.45000000,9.10278000
2023/07/01,09:43:00,30463.46000000,30463.46000000,30462.00000000,30462.01000000,6.79709000
2023/07/01,09:44:00,30462.01000000,30462.02000000,30450.00000000,30453.91000000,15.21492000
2023/07/01,09:45:00,30453.91000000,30453.92000000,30432.42000000,30451.19000000,22.13750000
2023/07/01,09:46:00,30451.19000000,30451.99000000,30451.18000000,30451.98000000,4.96898000
2023/07/01,09:47:00,30451.98000000,30456.00000000,30451.98000000,30454.17000000,5.62071000
2023/07/01,09:48:00,30454.18000000,30457.95000000,30443.99000000,30455.16000000,24.09263000
2023/07/01,09:49:00,30455.16000000,30455.17000000,30442.05000000,30450.00000000,17.15456000
2023/07/01,09:50:00,30449.99000000,30454.00000000,30449.99000000,30452.01000000,12.49391000
2023/07/01,09:51:00,30452.01000000,30452.01000000,30440.58000000,30440.59000000,12.64315000
